"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-02","-6.646657","55.146266","Cloyfin Road","VECR","COLERAINE","24,694"
"2015-01","-6.192257","54.509883","Willow Lodge","DRUG","LISBURN","121,654"
"2015-02","-6.356293","54.206099","Tandragee Road","BURG","PORTADOWN","22,611"
"2015-01","-5.884247","54.224232","Warne View Court","VISO","NEWCASTLE","7,524"
"2015-02","-6.257852","54.105817","Essmore","VISO","WARRENPOINT","7,651"
"2015-02","-6.706280","55.185299","Old Coach Road","BURG","PORTSTEWART","7,825"
"2015-02","-5.695657","54.661942","Westburn Crescent","VISO","BANGOR","62,789"
"2015-02","-6.336652","54.170789","Kilmorey Street","ASBO","NEWRY","27,234"
"2015-01","-6.268234","54.346036","Kenlis Court","ASBO","BANBRIDGE","14,634"
"2015-01","-7.571186","54.317286","Tamlaght Park","CDAR","ENNISKILLEN","13,826"
"2015-02","-5.934406","54.594568","Great Victoria Street","ASBO","BELFAST","335,665"
"2015-01","-5.960461","54.619063","Alliance Road","CDAR","BELFAST","335,665"
"2015-01","-6.251839","54.858759","Staffa Drive","ASBO","BALLYMENA","30,265"
"2015-01","-6.461666","54.423876","Westland Road","VISO","BALLYWALTER","2,123"
"2015-02","-6.343134","54.468892","Garland Avenue","OTTH","BELFAST","335,665"
"2015-02","-6.249167","54.099635","Parkside","CDAR","WARRENPOINT","7,651"
"2015-02","-5.923999","54.598389","Victoria Square","VISO","BELFAST","335,665"
"2015-01","-6.687057","54.978578","Houston Crescent","ASBO","GARVAGH","1,291"
"2015-02","-5.897470","54.401603","High Street","OTCR","HOLYWOOD","12,657"
"2015-01","-5.736891","54.554787","Longlands Drive","ASBO","COMBER","9,256"
"2015-02","-5.965383","54.580627","Boucher Crescent","ASBO","BELFAST","335,665"
"2015-02","-7.285052","54.978768","Riverside Park","ASBO","LONDONDERRY","87,269"
"2015-01","-5.885402","54.598421","Cheviot Avenue","VISO","BELFAST","335,665"
"2015-02","-6.046777","54.509784","Smithfield","VISO","LISBURN","121,654"
"2015-02","-5.973239","54.592494","Brittons Parade","ASBO","BELFAST","335,665"
"2015-01","-6.179606","54.995874","Glenravel Road","ASBO","CARGAN","618"
"2015-02","-6.221213","54.732571","Durnish Road","BURG","ANTRIM","21,896"
"2015-01","-7.462444","54.831197","Nancys Lane","VISO","STRABANE","17,695"
"2015-02","-7.643201","54.348164","Queen Street","VISO","LONDONDERRY","87,269"
"2015-01","-7.454610","54.823589","Evish Grove","ASBO","STRABANE","17,695"
"2015-02","-6.941654","54.964478","Bonnanaboigh","POSW","DUNGIVEN",NA
"2015-01","-5.923875","54.596868","Victoria Street","OTTH","BALLYMONEY","11,365"
"2015-02","-6.267433","54.870249","Summerfield Street","ASBO","BALLYMENA","30,265"
"2015-01","-5.953204","54.695088","Uppertown Drive","ASBO","NEWTOWNABBEY","118,261"
"2015-02","-5.937245","54.610017","St James Mews","CDAR","BELFAST","335,665"
"2015-01","-6.933871","55.041916","Meadowvale Park","VISO","LIMAVADY","12,128"
"2015-02","-7.321935","54.996721","Magazine Street","ASBO","LONDONDERRY","87,269"
"2015-02","-5.967916","54.687510","Ballycraigy Road","ASBO","NEWTOWNABBEY","118,261"
"2015-01","-5.632742","54.667531","East Circular Road","CDAR",NA,NA
"2015-01","-5.886986","54.592042","Woodcot Avenue","OTCR","BELFAST","335,665"
